"Município";"Pib"
"Santo Antônio dos Lopes (MA)";"3055591"
"São Benedito do Rio Preto (MA)";"143478"
"São Bento (MA)";"312229"
"São Bernardo (MA)";"281230"
"São Domingos do Azeitão (MA)";"320539"
"São Domingos do Maranhão (MA)";"355969"
"São Félix de Balsas (MA)";"86169"
"São Francisco do Brejão (MA)";"121274"
"São Francisco do Maranhão (MA)";"98997"
"São João Batista (MA)";"135625"
"São João do Carú (MA)";"123039"
"São João do Paraíso (MA)";"151478"
"São João do Soter (MA)";"156403"
"São João dos Patos (MA)";"341012"
"São José de Ribamar (MA)";"2293966"
"São José dos Basílios (MA)";"61953"
"São Luís (MA)";"36535226"
"São Luís Gonzaga do Maranhão (MA)";"170085"
"São Mateus do Maranhão (MA)";"429291"
"São Pedro da Água Branca (MA)";"127634"
"São Pedro dos Crentes (MA)";"83552"
"São Raimundo das Mangabeiras (MA)";"739661"
"São Raimundo do Doca Bezerra (MA)";"43968"
"São Roberto (MA)";"45779"
"São Vicente Ferrer (MA)";"145781"
"Satubinha (MA)";"93100"
"Senador Alexandre Costa (MA)";"101851"
"Senador La Rocque (MA)";"187168"
"Serrano do Maranhão (MA)";"72464"
"Sítio Novo (MA)";"221539"
"Sucupira do Norte (MA)";"126237"
"Sucupira do Riachão (MA)";"48010"
"Tasso Fragoso (MA)";"2351452"
"Timbiras (MA)";"196385"
"Timon (MA)";"2320942"
"Trizidela do Vale (MA)";"525551"
"Tufilândia (MA)";"60071"
"Tuntum (MA)";"365257"
"Turiaçu (MA)";"295967"
"Turilândia (MA)";"223113"
"Tutóia (MA)";"546267"
"Urbano Santos (MA)";"247541"
"Vargem Grande (MA)";"433576"
"Viana (MA)";"490490"
"Vila Nova dos Martírios (MA)";"156939"
"Vitória do Mearim (MA)";"318224"
"Vitorino Freire (MA)";"325567"
"Zé Doca (MA)";"567166"
"Acauã (PI)";"73561"
"Agricolândia (PI)";"47283"
"Água Branca (PI)";"243971"
"Alagoinha do Piauí (PI)";"65442"
"Alegrete do Piauí (PI)";"48184"
"Alto Longá (PI)";"130955"
"Altos (PI)";"537774"
"Alvorada do Gurguéia (PI)";"82125"
"Amarante (PI)";"192592"
"Angical do Piauí (PI)";"66748"
"Anísio de Abreu (PI)";"98945"
"Antônio Almeida (PI)";"143815"
"Aroazes (PI)";"57305"
"Aroeiras do Itaim (PI)";"24625"
"Arraial (PI)";"48922"
"Assunção do Piauí (PI)";"64266"
"Avelino Lopes (PI)";"97601"
"Baixa Grande do Ribeiro (PI)";"1768579"
"Barra D'Alcântara (PI)";"38963"
"Barras (PI)";"497599"
"Barreiras do Piauí (PI)";"163172"
"Barro Duro (PI)";"89830"
"Batalha (PI)";"250803"
"Bela Vista do Piauí (PI)";"46876"
"Belém do Piauí (PI)";"41264"
"Beneditinos (PI)";"91895"
"Bertolínia (PI)";"72158"
"Betânia do Piauí (PI)";"62561"
"Boa Hora (PI)";"62507"
"Bocaina (PI)";"47772"
"Bom Jesus (PI)";"1410185"
"Bom Princípio do Piauí (PI)";"70166"
"Bonfim do Piauí (PI)";"52945"
"Boqueirão do Piauí (PI)";"51725"
"Brasileira (PI)";"69324"
"Brejo do Piauí (PI)";"43978"
"Buriti dos Lopes (PI)";"214747"
"Buriti dos Montes (PI)";"69690"
"Cabeceiras do Piauí (PI)";"86134"
"Cajazeiras do Piauí (PI)";"34182"
"Cajueiro da Praia (PI)";"115376"
"Caldeirão Grande do Piauí (PI)";"195079"
